job,education,balance,duration,y
admin.,secondary,20,124,no
technician,tertiary,92,118,no
blue-collar,secondary,1001,201,no
management,tertiary,221,720,no
retired,secondary,0,333,no
blue-collar,secondary,238,200,no
admin.,secondary,0,326,no
blue-collar,primary,0,292,no
self-employed,secondary,-139,152,no
services,secondary,259,130,no
admin.,secondary,0,133,no
blue-collar,secondary,1415,485,no
technician,secondary,147,374,no
blue-collar,secondary,387,122,no
blue-collar,secondary,563,615,no
retired,secondary,165,111,no
blue-collar,secondary,24,180,no
self-employed,secondary,273,227,no
blue-collar,secondary,0,298,no
,,414,131,no
admin.,secondary,8,125,no
management,tertiary,233,193,no
services,tertiary,309,294,no
admin.,secondary,2100,164,no
management,tertiary,112,245,no
blue-collar,secondary,-98,423,no
blue-collar,secondary,-932,799,no
services,secondary,0,180,no
entrepreneur,,1481,49,no
management,secondary,2019,380,no
blue-collar,primary,198,121,no
management,tertiary,115,36,no
admin.,primary,270,294,no
management,tertiary,436,48,no
blue-collar,secondary,-1,72,no
services,secondary,1377,1101,no
admin.,,0,164,no
blue-collar,primary,267,362,no
admin.,secondary,573,329,no
admin.,secondary,367,106,no
blue-collar,primary,19,241,no
blue-collar,secondary,4,263,no
management,tertiary,2605,278,no
blue-collar,secondary,1557,263,no
blue-collar,primary,-20,353,no
blue-collar,primary,-171,441,no
blue-collar,secondary,438,46,no
technician,secondary,786,165,no
blue-collar,secondary,29,214,no
blue-collar,primary,420,110,no
services,primary,114,99,no
blue-collar,,2167,1273,no
blue-collar,tertiary,-33,62,no
entrepreneur,primary,526,79,no
technician,,133,253,no
technician,primary,145,157,no
services,secondary,98,155,no
management,tertiary,3,122,no
blue-collar,secondary,374,944,no
technician,secondary,367,22,no
technician,secondary,720,177,no
admin.,secondary,1117,77,no
blue-collar,secondary,597,223,no
admin.,secondary,89,308,no
services,secondary,442,137,no
blue-collar,secondary,-947,211,no
blue-collar,secondary,-147,156,no
technician,secondary,83,178,no
blue-collar,secondary,125,142,no
services,secondary,96,31,no
entrepreneur,primary,198,314,no
management,tertiary,177,1040,no
entrepreneur,tertiary,-413,170,no
admin.,secondary,419,35,no
blue-collar,secondary,134,262,no
management,tertiary,7444,20,no
technician,secondary,177,471,no
technician,secondary,0,66,no
services,secondary,620,144,no
management,tertiary,1773,106,no
blue-collar,secondary,80,494,no
blue-collar,secondary,1,190,no
blue-collar,primary,4,198,no
entrepreneur,,298,215,no
blue-collar,secondary,152,33,no
blue-collar,secondary,715,108,no
management,tertiary,121,82,no
blue-collar,primary,250,149,no
technician,secondary,365,256,no
management,tertiary,1315,156,no
management,tertiary,1852,362,no
blue-collar,secondary,36,712,no
management,tertiary,2261,1007,no
blue-collar,secondary,177,500,no
admin.,secondary,168,513,yes
services,secondary,145,170,no
technician,secondary,389,110,no
blue-collar,primary,-77,468,no
services,secondary,50,352,no
self-employed,tertiary,120,130,no
admin.,secondary,785,442,yes
services,secondary,28,101,no
blue-collar,primary,668,238,no
management,tertiary,3,161,no
blue-collar,primary,70,461,no
blue-collar,primary,587,173,no
management,tertiary,-275,219,no
blue-collar,primary,162,200,no
services,secondary,241,133,no
blue-collar,secondary,-132,12,no
services,secondary,1378,257,no
blue-collar,primary,-192,1120,yes
services,,193,74,no
management,tertiary,751,261,no
blue-collar,secondary,376,15,no
services,secondary,80,185,no
management,tertiary,704,233,no
blue-collar,,70,219,no
management,tertiary,393,110,no
technician,secondary,365,169,no
blue-collar,secondary,879,248,no
student,secondary,0,93,no
unemployed,primary,1147,249,no
admin.,secondary,61,116,no
blue-collar,primary,749,297,no
blue-collar,primary,202,200,no
blue-collar,secondary,20,117,no
blue-collar,secondary,-17,37,no
blue-collar,secondary,138,283,no
admin.,tertiary,221,185,no
blue-collar,secondary,1080,192,no
admin.,secondary,4012,337,no
management,tertiary,89,166,no
blue-collar,secondary,145,193,no
technician,tertiary,491,103,no
management,tertiary,820,287,no
blue-collar,secondary,507,136,no
blue-collar,primary,-97,260,no
services,secondary,5034,207,no
blue-collar,secondary,-13,260,no
admin.,tertiary,490,94,no
blue-collar,primary,2171,97,no
admin.,,230,371,no
admin.,tertiary,422,274,no
services,secondary,2068,143,no
management,tertiary,-322,198,no
technician,tertiary,190,352,no
admin.,secondary,307,538,yes
blue-collar,secondary,739,171,no
blue-collar,secondary,153,386,no
self-employed,tertiary,1842,124,no
management,secondary,181,485,no
admin.,secondary,0,121,no
blue-collar,secondary,-3,92,no
self-employed,secondary,123,278,no
admin.,secondary,535,249,no
services,secondary,302,210,no
services,secondary,4,490,no
admin.,secondary,-227,646,no
technician,secondary,1981,106,no
management,,404,95,no
blue-collar,,0,377,no
services,secondary,1656,208,no
blue-collar,primary,-91,164,no
blue-collar,primary,134,91,no
management,tertiary,1108,261,no
blue-collar,primary,108,200,no
technician,tertiary,2257,62,no
blue-collar,secondary,269,365,no
admin.,secondary,708,109,no
blue-collar,secondary,-197,2016,yes
technician,secondary,277,251,no
blue-collar,primary,1726,195,no
management,tertiary,1510,61,no
blue-collar,secondary,171,286,no
technician,tertiary,542,338,no
technician,secondary,2313,551,no
technician,secondary,300,338,no
self-employed,tertiary,-3313,153,no
blue-collar,primary,352,188,no
management,secondary,6809,750,no
blue-collar,secondary,216,128,no
entrepreneur,tertiary,338,107,no
management,tertiary,0,94,no
blue-collar,primary,608,184,no
student,secondary,510,25,no
services,secondary,68,169,no
admin.,secondary,43,179,no
admin.,secondary,10,393,no
admin.,secondary,253,515,no
blue-collar,primary,31,237,no
blue-collar,secondary,221,122,no
management,tertiary,913,244,no
admin.,secondary,-435,185,no
self-employed,secondary,351,298,no
management,primary,226,86,no
self-employed,secondary,123,97,no
blue-collar,secondary,8,64,no
blue-collar,secondary,333,190,no
admin.,secondary,15,290,no
admin.,secondary,-220,115,no
admin.,secondary,42,192,no
blue-collar,secondary,325,592,no
blue-collar,primary,0,59,no
services,secondary,737,117,no
management,tertiary,311,757,yes
blue-collar,secondary,-871,36,no
technician,secondary,276,486,no
admin.,secondary,395,95,no
blue-collar,secondary,3675,101,no
blue-collar,primary,0,3,no
technician,secondary,-219,386,no
technician,secondary,628,1083,no
admin.,secondary,290,163,no
blue-collar,secondary,117,470,no
unemployed,primary,324,577,no
management,secondary,37,262,no
blue-collar,secondary,387,220,no
student,tertiary,1535,126,no
technician,secondary,205,92,no
self-employed,primary,1862,65,no
services,secondary,206,370,no
admin.,secondary,1104,120,no
admin.,secondary,247,1727,no
entrepreneur,tertiary,-43,138,no
management,tertiary,867,145,no
management,tertiary,1345,289,no
services,secondary,1474,148,no
blue-collar,secondary,783,166,no
blue-collar,primary,6386,170,no
blue-collar,primary,-12,212,no
blue-collar,primary,431,68,no
blue-collar,secondary,336,152,no
services,secondary,141,111,no
management,tertiary,36,182,no
blue-collar,primary,-168,160,no
blue-collar,secondary,472,907,no
services,secondary,395,70,no
technician,secondary,24299,704,no
management,secondary,5,1346,yes
blue-collar,primary,323,276,no
blue-collar,secondary,429,244,no
admin.,secondary,36,428,no
services,primary,91,215,no
services,secondary,279,270,no
management,secondary,594,154,no
blue-collar,secondary,66,3366,no
admin.,secondary,-423,106,no
blue-collar,primary,505,351,no
blue-collar,secondary,173,217,no
management,tertiary,595,427,no
management,tertiary,1557,213,no
blue-collar,primary,-166,136,no
unemployed,primary,1483,227,no
retired,primary,2665,67,no
services,secondary,380,260,no
blue-collar,secondary,2485,174,no
retired,primary,5521,94,no
retired,secondary,3382,806,no
management,tertiary,1823,31,no
technician,tertiary,463,128,no
technician,,1192,481,no
retired,secondary,2376,766,no
management,tertiary,1949,683,yes
services,secondary,1635,730,no
admin.,secondary,3132,459,no
services,secondary,3839,76,no
blue-collar,secondary,8680,503,no
technician,secondary,309,214,no
entrepreneur,primary,199,113,no
self-employed,tertiary,5,853,no
blue-collar,secondary,0,296,no
blue-collar,primary,300,103,no
admin.,secondary,2195,59,no
blue-collar,secondary,1311,805,no
technician,secondary,26765,210,no
admin.,secondary,985,390,no
admin.,secondary,592,151,no
blue-collar,secondary,1570,29,no
blue-collar,tertiary,257,190,no
blue-collar,secondary,705,108,no
blue-collar,secondary,1940,299,no
management,tertiary,489,60,no
management,tertiary,1531,129,no
blue-collar,primary,2466,142,no
blue-collar,,1045,411,no
services,secondary,413,65,no
blue-collar,secondary,598,69,no
blue-collar,primary,2477,175,no
management,secondary,-15,247,no
management,tertiary,1300,379,no
retired,secondary,2626,151,no
admin.,secondary,-44,166,no
blue-collar,,-278,318,no
blue-collar,primary,617,227,no
admin.,secondary,1026,389,no
blue-collar,secondary,-238,73,no
entrepreneur,tertiary,1089,195,no
retired,primary,515,288,no
blue-collar,secondary,2429,171,no
,secondary,3111,166,no
blue-collar,secondary,57,194,no
technician,secondary,0,360,no
services,secondary,2236,73,no
blue-collar,primary,2062,438,no
management,tertiary,547,137,no
retired,primary,1374,22,no
technician,,67,328,no
blue-collar,secondary,14,72,no
blue-collar,secondary,0,101,no
technician,secondary,447,146,no
blue-collar,primary,5154,70,no
services,primary,5879,162,no
blue-collar,secondary,-31,117,no
admin.,secondary,752,178,no
management,tertiary,258,188,no
technician,secondary,302,282,no
technician,secondary,4135,283,no
management,secondary,478,110,no
admin.,secondary,520,452,no
services,secondary,2257,203,no
,tertiary,2272,243,no
management,tertiary,1,253,no
blue-collar,primary,259,267,no
blue-collar,secondary,24,229,no
admin.,secondary,1535,704,yes
blue-collar,secondary,923,249,no
management,tertiary,3158,282,no
admin.,secondary,3634,216,no
blue-collar,primary,2097,160,no
admin.,primary,628,191,no
services,secondary,6874,356,no
admin.,secondary,-1300,89,no
management,tertiary,334,438,no
self-employed,secondary,80,387,no
technician,secondary,3455,566,no
blue-collar,secondary,1238,246,no
blue-collar,secondary,881,225,no
self-employed,tertiary,4543,162,no
admin.,secondary,1613,565,no
entrepreneur,tertiary,1410,44,no
retired,secondary,4248,71,no
management,secondary,155,75,no
blue-collar,secondary,831,144,no
services,secondary,10749,221,no
services,secondary,7695,193,no
blue-collar,secondary,683,245,no
blue-collar,secondary,606,673,no
blue-collar,primary,0,220,no
admin.,secondary,998,1044,no
management,tertiary,1952,354,no
admin.,secondary,766,123,no
admin.,tertiary,5426,149,no
blue-collar,primary,1406,252,no
housemaid,primary,1158,159,no
blue-collar,primary,410,85,no
admin.,secondary,1028,343,no
technician,tertiary,744,125,no
blue-collar,primary,348,423,no
technician,secondary,976,302,no
admin.,secondary,738,71,no
technician,secondary,1465,86,no
blue-collar,primary,0,370,no
services,secondary,989,260,no
blue-collar,,-389,76,no
management,tertiary,82,94,no
blue-collar,secondary,5291,1423,yes
technician,secondary,598,266,no
blue-collar,secondary,-406,104,no
technician,tertiary,2938,170,no
unemployed,primary,259,155,no
admin.,secondary,2040,204,no
services,secondary,543,141,no
services,secondary,6127,97,no
blue-collar,secondary,4509,135,no
retired,tertiary,183,73,no
retired,secondary,56,259,no
services,secondary,0,263,no
management,tertiary,1033,71,no
services,secondary,0,183,no
services,secondary,1927,62,no
management,secondary,244,244,no
entrepreneur,tertiary,6659,203,no
blue-collar,secondary,1913,115,no
blue-collar,primary,1563,112,no
management,primary,52,140,no
entrepreneur,primary,276,219,no
admin.,secondary,225,167,no
retired,primary,3123,178,no
services,secondary,957,326,no
blue-collar,primary,320,695,yes
blue-collar,,146,483,yes
management,tertiary,2124,161,no
entrepreneur,secondary,1037,112,no
management,tertiary,2400,74,no
technician,tertiary,405,231,no
admin.,secondary,1178,295,no
services,,7864,145,no
blue-collar,primary,3405,221,no
blue-collar,secondary,874,68,no
management,tertiary,101,348,no
blue-collar,primary,-181,297,no
admin.,secondary,9039,187,no
services,primary,-9,920,yes
management,tertiary,577,1244,no
admin.,secondary,1704,218,no
services,primary,2923,104,no
blue-collar,secondary,231,51,no
technician,tertiary,-256,51,no
management,tertiary,334,127,no
blue-collar,secondary,680,173,no
blue-collar,secondary,86,918,no
admin.,secondary,1713,544,no
management,tertiary,6060,71,no
services,,132,29,no
management,tertiary,347,525,no
technician,tertiary,468,147,no
unemployed,secondary,-318,133,no
services,secondary,714,504,no
technician,,49,75,no
blue-collar,secondary,1779,99,no
housemaid,secondary,1372,224,no
blue-collar,primary,24,34,no
technician,tertiary,4580,911,yes
technician,secondary,536,76,no
admin.,secondary,287,465,no
blue-collar,primary,680,387,no
management,tertiary,893,279,no
management,primary,366,589,no
services,secondary,72,384,no
blue-collar,secondary,228,186,no
blue-collar,primary,0,226,no
admin.,secondary,679,194,no
technician,secondary,1819,226,no
management,secondary,-174,156,no
management,tertiary,5670,184,no
blue-collar,secondary,1125,548,no
admin.,primary,1,17,no
blue-collar,primary,749,242,no
management,tertiary,714,850,no
admin.,secondary,1739,103,no
admin.,secondary,975,263,no
retired,secondary,280,88,no
admin.,,-295,311,no
technician,secondary,89,175,no
management,tertiary,2360,177,no
admin.,secondary,805,186,no
blue-collar,secondary,1414,241,no
blue-collar,secondary,6258,139,no
blue-collar,primary,186,208,no
technician,secondary,75,129,no
technician,secondary,75,259,no
services,,281,515,yes
housemaid,primary,1000,178,no
blue-collar,,732,25,no
admin.,secondary,2539,529,no
technician,secondary,999,656,no
admin.,secondary,63,88,no
blue-collar,secondary,246,1143,yes
management,secondary,36,250,no
blue-collar,primary,196,248,no
technician,secondary,1269,355,no
services,secondary,-142,140,no
admin.,secondary,739,132,no
services,secondary,169,260,no
management,secondary,-26,343,no
technician,tertiary,705,111,no
technician,tertiary,183,360,no
blue-collar,,194,410,no
admin.,secondary,40,108,no
blue-collar,secondary,1197,241,no
admin.,secondary,178,107,no
admin.,secondary,5,102,no
blue-collar,primary,95,230,no
blue-collar,primary,467,379,no
technician,tertiary,586,489,no
blue-collar,secondary,53,258,no
technician,secondary,420,112,no
technician,secondary,906,155,no
blue-collar,primary,634,475,no
admin.,secondary,73,404,no
self-employed,secondary,272,123,no
management,tertiary,-308,213,no
blue-collar,primary,85,136,no
management,tertiary,647,270,no
management,tertiary,36,194,no
services,secondary,934,242,no
management,tertiary,318,788,no
entrepreneur,tertiary,1297,180,no
blue-collar,primary,208,315,no
blue-collar,primary,71,355,no
services,,1155,557,no
admin.,,642,509,no
services,secondary,-388,1135,no
blue-collar,secondary,1161,292,no
admin.,secondary,281,279,no
blue-collar,primary,137,187,no
blue-collar,secondary,1112,827,no
admin.,tertiary,329,218,no
blue-collar,secondary,0,167,no
services,secondary,568,469,no
services,secondary,3608,165,no
services,secondary,271,134,no
self-employed,secondary,1066,65,no
admin.,secondary,368,218,no
management,secondary,792,1187,yes
management,secondary,122,39,no
blue-collar,secondary,660,105,no
admin.,secondary,276,311,no
admin.,secondary,-326,128,no
management,primary,-6,92,no
technician,secondary,379,501,no
services,secondary,2431,221,no
management,tertiary,2784,181,no
services,primary,8806,131,no
admin.,secondary,1020,882,yes
services,secondary,761,169,no
admin.,secondary,-1249,83,no
technician,secondary,4089,318,no
blue-collar,primary,3736,29,no
technician,secondary,4667,130,no
admin.,tertiary,259,27,no
blue-collar,secondary,316,27,no
unemployed,secondary,2996,68,no
technician,secondary,213,267,no
student,tertiary,80,234,no
unemployed,primary,3444,792,no
technician,secondary,18,798,no
blue-collar,tertiary,1012,496,no
technician,secondary,2718,114,no
blue-collar,secondary,1827,211,no
blue-collar,secondary,41,265,no
blue-collar,secondary,484,48,no
admin.,secondary,6042,228,no
blue-collar,secondary,-5,260,no
management,tertiary,134,70,no
admin.,secondary,97,607,yes
blue-collar,secondary,-754,222,no
retired,primary,477,335,no
blue-collar,primary,2085,488,no
blue-collar,,0,199,no
retired,secondary,181,131,no
technician,secondary,978,259,no
blue-collar,secondary,86,703,no
technician,tertiary,1017,257,no
blue-collar,primary,456,289,no
blue-collar,secondary,841,215,no
blue-collar,primary,-288,643,no
blue-collar,secondary,1071,411,no
blue-collar,secondary,525,180,no
blue-collar,secondary,157,107,no
blue-collar,primary,1536,400,no
admin.,primary,0,182,no
management,tertiary,4087,457,no
technician,primary,1022,445,no
management,tertiary,1146,458,no
blue-collar,primary,424,313,no
blue-collar,secondary,3992,194,no
blue-collar,secondary,0,159,no
technician,tertiary,880,967,yes
blue-collar,secondary,771,221,no
management,tertiary,89,162,no
management,tertiary,198,138,no
blue-collar,secondary,-3,265,no
management,tertiary,312,886,no
blue-collar,primary,53,467,no
management,tertiary,0,21,no
technician,,413,243,no
blue-collar,secondary,1345,120,no
blue-collar,secondary,261,87,no
technician,secondary,437,44,no
self-employed,secondary,-56,248,no
management,secondary,0,150,no
management,tertiary,5306,201,no
admin.,secondary,730,70,no
services,secondary,228,257,no
management,secondary,31,20,no
blue-collar,secondary,298,216,no
entrepreneur,secondary,24,81,no
blue-collar,secondary,274,205,no
management,tertiary,0,206,no
services,secondary,271,1882,yes
student,secondary,368,81,no
unemployed,secondary,733,335,no
services,primary,574,121,no
blue-collar,secondary,0,90,no
blue-collar,secondary,7579,600,no
blue-collar,secondary,1803,29,no
technician,secondary,412,127,no
services,secondary,4434,265,no
housemaid,primary,4904,101,no
admin.,secondary,-41,171,no
admin.,secondary,78,572,no
blue-collar,secondary,328,132,no
technician,secondary,1698,115,no
housemaid,primary,11,90,no
admin.,secondary,1689,423,no
blue-collar,primary,780,311,no
services,secondary,7,217,no
blue-collar,primary,1059,163,no
blue-collar,,722,268,no
admin.,secondary,-607,374,no
admin.,secondary,126,61,no
admin.,secondary,0,464,no
services,secondary,83,834,no
technician,secondary,11697,296,no
blue-collar,secondary,2688,281,no
admin.,secondary,2019,166,no
self-employed,secondary,290,369,no
admin.,secondary,138,158,no
blue-collar,secondary,113,235,no
blue-collar,secondary,10,107,no
blue-collar,primary,451,383,no
entrepreneur,secondary,134,98,no
blue-collar,secondary,1797,185,no
services,secondary,4963,148,no
services,secondary,0,134,no
blue-collar,,486,97,no
technician,secondary,1183,438,no
blue-collar,secondary,0,217,no
housemaid,primary,231,26,no
blue-collar,secondary,0,134,no
services,secondary,804,127,no
blue-collar,secondary,2852,125,no
blue-collar,primary,855,172,no
admin.,secondary,-215,89,no
blue-collar,primary,23,91,no
blue-collar,primary,7406,418,no
unemployed,secondary,1005,229,no
services,secondary,183,103,no
blue-collar,,4822,843,yes
technician,secondary,3067,138,no
admin.,secondary,50,89,no
technician,secondary,8,777,no
blue-collar,primary,2144,129,no
management,secondary,543,213,no
blue-collar,primary,-197,204,no
services,secondary,739,352,no
blue-collar,secondary,274,190,no
management,tertiary,363,171,no
services,secondary,-224,222,no
technician,secondary,821,78,no
technician,secondary,8153,134,no
blue-collar,primary,216,565,yes
management,tertiary,1746,139,no
technician,secondary,597,298,no
technician,secondary,3528,226,no
technician,secondary,1176,282,no
admin.,,734,1106,no
self-employed,secondary,4746,32,no
management,tertiary,808,52,no
self-employed,tertiary,35368,63,no
technician,secondary,2490,115,no
technician,tertiary,1126,370,no
services,secondary,675,232,no
entrepreneur,primary,-98,166,no
management,tertiary,0,759,no
management,tertiary,1343,85,no
blue-collar,secondary,44,137,no
blue-collar,secondary,1243,32,no
technician,secondary,49,151,no
retired,primary,41,717,no
management,tertiary,741,228,no
technician,secondary,569,487,no
technician,secondary,287,59,no
management,tertiary,188,136,no
blue-collar,secondary,932,229,no
blue-collar,secondary,0,504,no
technician,secondary,5729,303,no
retired,tertiary,855,786,no
admin.,secondary,8784,63,no
technician,secondary,1830,293,no
technician,tertiary,1887,389,no
management,tertiary,1216,53,no
technician,secondary,901,102,no
technician,secondary,1389,189,no
blue-collar,secondary,5304,51,no
management,tertiary,728,125,no
blue-collar,primary,29050,563,no
services,secondary,0,111,no
management,tertiary,527,265,no
blue-collar,secondary,1961,216,no
blue-collar,primary,885,127,no
blue-collar,secondary,564,660,no
blue-collar,secondary,-325,171,no
blue-collar,primary,42,384,no
management,tertiary,1330,83,no
blue-collar,primary,558,56,no
admin.,secondary,1985,155,no
blue-collar,secondary,223,91,no
services,secondary,-838,142,no
management,secondary,293,162,no
management,tertiary,-867,222,no
admin.,secondary,335,501,no
blue-collar,primary,-175,116,no
blue-collar,secondary,813,23,no
management,tertiary,2271,575,no
services,secondary,881,67,no
blue-collar,secondary,924,108,no
management,tertiary,4924,389,no
technician,primary,3744,489,no
technician,secondary,589,151,no
admin.,secondary,5527,132,no
blue-collar,primary,965,1161,no
blue-collar,secondary,622,611,yes
management,secondary,140,45,no
services,secondary,-61,203,no
technician,secondary,-147,239,no
blue-collar,primary,1455,165,no
blue-collar,primary,-280,281,no
blue-collar,primary,-5,30,no
management,tertiary,461,142,no
management,tertiary,1813,291,no
blue-collar,primary,126,93,no
services,primary,1601,201,no
self-employed,tertiary,917,260,no
management,tertiary,0,346,no
management,tertiary,2737,38,no
self-employed,tertiary,1354,736,yes
technician,secondary,0,412,no
technician,secondary,207,72,no
technician,secondary,1092,268,no
services,secondary,-32,157,no
services,secondary,1273,442,no
technician,secondary,4941,504,no
management,tertiary,643,322,no
blue-collar,primary,697,700,no
blue-collar,primary,595,231,no
management,tertiary,1243,135,no
management,tertiary,7,191,no
blue-collar,,0,354,no
blue-collar,secondary,59,293,no
technician,tertiary,370,108,no
entrepreneur,tertiary,0,275,no
management,tertiary,1379,319,no
retired,secondary,287,236,no
blue-collar,secondary,2549,246,no
blue-collar,primary,827,230,no
blue-collar,secondary,2495,924,yes
technician,secondary,0,134,no
technician,secondary,-401,78,no
self-employed,primary,-6,881,no
admin.,secondary,61,65,no
services,secondary,45,465,no
technician,secondary,-591,71,no
blue-collar,,-274,456,no
technician,tertiary,2043,159,no
management,tertiary,368,160,no
blue-collar,secondary,745,115,no
management,,383,290,no
technician,,4746,288,no
technician,secondary,0,541,no
management,tertiary,302,302,no
unemployed,tertiary,454,28,no
services,secondary,1940,215,no
blue-collar,secondary,1012,926,no
blue-collar,secondary,369,411,no
blue-collar,primary,510,122,no
management,tertiary,1651,189,no
blue-collar,secondary,1342,109,no
blue-collar,secondary,128,114,no
blue-collar,primary,157,20,no
services,primary,1951,208,no
self-employed,secondary,1,178,no
entrepreneur,tertiary,1340,199,no
blue-collar,secondary,395,281,no
blue-collar,secondary,-461,339,no
blue-collar,primary,23,247,no
management,tertiary,5205,493,no
self-employed,primary,1074,1438,no
blue-collar,secondary,-346,29,no
technician,secondary,1247,154,no
technician,secondary,1572,209,no
admin.,secondary,875,292,no
self-employed,tertiary,9,98,no
blue-collar,primary,5,266,no
blue-collar,secondary,4,84,no
admin.,secondary,3,259,no
entrepreneur,tertiary,1605,22,no
technician,tertiary,876,213,no
blue-collar,secondary,13849,252,no
management,secondary,240,260,no
admin.,secondary,165,456,no
blue-collar,secondary,3622,40,no
blue-collar,,92,98,no
blue-collar,secondary,0,100,no
admin.,secondary,-143,1034,no
admin.,secondary,0,353,no
admin.,secondary,3,159,no
technician,secondary,283,193,no
services,secondary,4063,207,no
technician,secondary,-245,63,no
blue-collar,secondary,-426,245,no
technician,tertiary,541,414,yes
technician,secondary,1337,368,no
admin.,secondary,-454,120,no
admin.,,-138,109,no
blue-collar,,-361,227,no
blue-collar,secondary,241,85,no
management,tertiary,191,212,no
management,secondary,89,167,no
retired,secondary,153,74,no
blue-collar,secondary,-563,252,no
services,secondary,322,61,no
services,secondary,3429,81,no
management,secondary,-424,863,no
management,tertiary,9725,131,no
blue-collar,primary,-175,40,no
management,tertiary,605,204,no
admin.,primary,314,134,no
services,secondary,207,312,no
blue-collar,secondary,-330,87,no
management,tertiary,2619,123,no
blue-collar,secondary,1257,109,no
management,tertiary,265,45,no
unemployed,secondary,293,70,no
technician,secondary,1256,404,no
blue-collar,secondary,484,629,no
management,tertiary,1492,249,no
technician,secondary,-158,349,no
technician,tertiary,-800,445,no
services,secondary,517,420,no
management,tertiary,175,796,no
entrepreneur,secondary,283,126,no
management,tertiary,-307,91,no
admin.,secondary,460,741,yes
management,tertiary,-69,48,no
technician,tertiary,480,169,no
blue-collar,secondary,339,100,no
technician,secondary,541,157,no
blue-collar,primary,3057,98,no
technician,secondary,168,238,no
admin.,secondary,4436,81,no
technician,secondary,4030,178,no
technician,secondary,440,250,no
services,secondary,-22,748,yes
blue-collar,secondary,-367,221,no
services,secondary,1414,192,no
blue-collar,secondary,607,398,no
technician,secondary,576,158,no
technician,tertiary,1037,125,no
technician,secondary,159,66,no
services,secondary,-358,253,no
blue-collar,primary,2366,97,no
student,secondary,4716,329,no
admin.,secondary,-331,130,no
technician,secondary,639,633,no
entrepreneur,secondary,35,73,no
services,secondary,0,166,no
unemployed,tertiary,226,322,no
blue-collar,secondary,-222,112,no
management,tertiary,5455,204,no
